index,college_conference,mean_neighbor_edge_weight
42,Rocky Mountain Athletic Conference,161.7346994773519
34,Ohio Athletic Conference,120.34545833333334
36,Pacific Ten Conference,113.99511630635851
51,Western Athletic Conference,107.02375509140202
7,Big Twelve Conference,101.43908609329029
44,Southeastern Conference,98.4020279776797
47,Southern Intercollegiate Athletic Conference,97.96055303030302
2,Big East,96.54723627986964
1,Atlantic Coast Conference,93.11601254594716
37,Pacific Twelve Conference,91.95257097386812
19,Mid-America Intercollegiate Athletic Association,91.91902762182194
6,Big Ten Conference,91.36483957024156
38,Patriot League,90.73085528011204
53,Mean Per Player,90.71395636470704
16,Independent,90.66073730172248
14,Great Northwest Athletic Conference,90.10026583710408
28,Mountain West Conference,88.59311977131837
26,Missouri Valley Football Conference,87.74297744081747
0,American Athletic Conference,86.11149068192348
15,Gulf South Conference,85.98340679500978
23,Mid-States Football Association,83.52235294117648
20,Mid-American Conference,82.52878109933106
31,Northeast Conference,82.41496196238016
11,Conference USA,82.29850851655131
17,Ivy League,78.95871524761789
50,Sun Belt Conference,78.65608260790297
29,NO FOOTBALL,76.59282889932649
13,Great Lakes Intercollegiate Athletic Conference,76.27576825938618
10,Colonial Athletic Association,75.87501741338349
52,Wisconsin Intercollegiate Athletic Conference,75.822253003003
46,Southern Conference,75.31603067985907
3,Big Sky Conference,74.95094857374366
49,Southwestern Athletic Conference,74.29310696527601
33,Northern Sun Intercollegiate Conference,73.84656244774769
35,Ohio Valley Conference,73.58672009446862
21,Mid-Eastern Athletic Conference,72.74866397477794
32,Northeast-10 Conference,70.5366965896478
18,Lone Star Conference,70.17250720551378
40,Pioneer Football League,69.54068022764451
43,South Atlantic Conference,68.68241666666667
12,Great American Conference,68.5393266474777
22,Mid-South Conference,68.30133333333333
48,Southland Conference,65.24149510335047
5,Big South Conference,65.01010058622398
24,Midwest Conference,61.411449652777776
25,Minnesota Intercollegiate Athletic Conference,60.71903954802259
27,Mountain East Conference,59.96195804195805
9,Central Intercollegiate Athletic Association,58.34603356596877
39,Pennsylvania State Athletic Conference,58.27961414466636
8,Canada West Universities Athletic Association,57.95286811230975
41,Quebec Student Sports Foundation,56.61317460317461
4,Big South - Ohio Valley Conference,54.95142857142857
30,New Jersey Athletic Conference,49.34210526315789
45,Southern Athletic Association,40.75434108527132
