Source,Target,Weight
00-0020531,00-0021547,997.9
00-0021206,00-0022084,743.76
00-0016919,00-0019596,282.06000000000006
00-0016919,00-0022943,11.48
00-0019596,00-0022943,2194.24
00-0020531,00-0022942,486.1
00-0021547,00-0022942,5388.26
00-0021206,00-0022921,572.44
00-0022084,00-0022921,2052.82
00-0022787,00-0022923,28.5
00-0019596,00-0023662,1255.98
00-0022943,00-0023662,563.3599999999999
00-0020531,00-0023564,1894.9999999999998
00-0021547,00-0023564,1221.6200000000001
00-0022942,00-0023564,1547.22
00-0021678,00-0022045,197.79999999999998
00-0021678,00-0022127,3695.8600000000006
00-0022045,00-0022127,208.92
00-0022924,00-0023465,3734.9600000000005
00-0023436,00-0023500,2269.4599999999996
00-0020531,00-0024110,555.6800000000001
00-0021678,00-0023921,2598.5999999999995
00-0021678,00-0024268,532.38
00-0022045,00-0023921,17.72
00-0022045,00-0024268,24.32
00-0022127,00-0023921,1723.1000000000001
00-0022127,00-0024268,286.82000000000005
00-0023921,00-0024268,52.72
00-0022924,00-0022999,193.94
00-0022999,00-0023465,78.32
00-0023436,00-0024221,1771.3600000000001
00-0023436,00-0024389,1059.56
00-0023500,00-0024221,2794.8199999999997
00-0023500,00-0024389,1681.1200000000001
00-0024221,00-0024389,965.5200000000001
00-0023459,00-0023742,22.52
00-0024226,00-0024334,2084.3799999999997
00-0019596,00-0023467,440.24000000000007
00-0022943,00-0023467,94.82
00-0023467,00-0023662,11.54
00-0019714,00-0021206,80.25999999999999
00-0020679,00-0023436,285.84000000000003
00-0020679,00-0023500,844.52
00-0020679,00-0024221,543.5200000000001
00-0020679,00-0024389,317.52000000000004
00-0022787,00-0025460,1239.74
00-0022999,00-0023459,3098.7799999999997
00-0022999,00-0023742,7.119999999999999
00-0022999,00-0024061,12.42
00-0022999,00-0024330,51.519999999999996
00-0023459,00-0024061,27.339999999999996
00-0023459,00-0024330,335.56000000000006
00-0023742,00-0024061,12.42
00-0023742,00-0024330,18.419999999999998
00-0024061,00-0024330,23.72
00-0023252,00-0025418,58.82
00-0023252,00-0025555,11.719999999999999
00-0025418,00-0025555,64.82000000000001
00-0010346,00-0026345,1186.0400000000002
00-0019714,00-0026144,324.98
00-0021206,00-0026153,352.0
00-0021429,00-0023682,165.26
00-0021547,00-0026069,960.52
00-0022942,00-0026069,1531.0200000000002
