ID,name,team,position,college_name,college_conference,fantasy_points
00-0016919,Adam Vinatieri,NE,K,South Dakota State,Missouri Valley Football Conference,4.0
00-0022531,Jason Peters,BUF,T,Arkansas,Southeastern Conference,12.0
00-0022045,Terence Newman,DAL,CB,Kansas State,Big Twelve Conference,6.0
00-0022923,DeAngelo Hall,ATL,FS,Virginia Tech,Atlantic Coast Conference,0.0
00-0023252,Robbie Gould,CHI,K,Penn State,Big Ten Conference,0.0
00-0023467,Logan Mankins,NE,G,Fresno State,Western Athletic Conference,0.0
00-0024061,Tramon Williams,GB,CB,Louisiana Tech,Western Athletic Conference,6.0
00-0025555,Corey Graham,CHI,FS,New Hampshire,Colonial Athletic Association,6.0
00-0024330,Will Blackmon,GB,FS,Boston College,Atlantic Coast Conference,24.0
00-0026282,Zack Bowman,CHI,CB,Nebraska,Big Twelve Conference,6.0
00-0004091,Phil Dawson,CLE,K,Texas,Big Twelve Conference,8.0
00-0023740,Thomas Gafford,KC,LS,Houston,Conference USA,0.0
00-0026157,Gosder Cherilus,DET,T,Boston College,Atlantic Coast Conference,0.0
00-0026999,Michael Oher,BAL,T,Mississippi,Southeastern Conference,0.0
00-0023560,Todd Herremans,PHI,G,Saginaw Valley,Great Lakes Intercollegiate Athletic Conference,12.0
00-0024270,Andrew Whitworth,CIN,T,Louisiana State,Southeastern Conference,6.0
00-0024424,Zach Strief,NO,OT,Northwestern,Big Ten Conference,0.0
00-0026844,Garrison Sanborn,BUF,LS,Florida State,Atlantic Coast Conference,0.0
00-0027010,Patrick Chung,NE,SS,Oregon,Pacific Ten Conference,0.0
00-0027290,Cassius Vaughn,DEN,CB,Mississippi,Southeastern Conference,6.0
00-0027866,Earl Thomas,SEA,FS,Texas,Big Twelve Conference,6.0
00-0027887,Taylor Mays,SF,FS,Southern California,Pacific Twelve Conference,6.0
00-0026500,Matt Slauson,NYJ,G,Nebraska,Big Twelve Conference,0.0
00-0026516,Britton Colquitt,DEN,P,Tennessee,Southeastern Conference,0.0
00-0026997,Alex Mack,CLE,C,California,Pacific Ten Conference,0.0
00-0027060,Lardarius Webb,BAL,FS,Nicholls State,Southland Conference,12.0
00-0027136,Jason McCourty,TEN,FS,Rutgers,Big East,6.0
00-0027722,Mike Kafka,PHI,QB,Northwestern,Big Ten Conference,0.0
00-0028125,Allen Bradford,TB,LB,Southern California,Pacific Twelve Conference,1.0
00-0023441,Adam Jones,CIN,CB,West Virginia,Big East,32.0
00-0026151,Leodis McKelvin,BUF,CB,Troy,Sun Belt Conference,24.0
00-0026929,Andrew Gardner,HOU,OG,Georgia Tech,Atlantic Coast Conference,0.0
00-0027036,Will Beatty,NYG,T,Connecticut,Big East,0.0
00-0027067,Rashad Johnson,ARI,FS,Alabama,Southeastern Conference,6.0
00-0027573,Mitch Unrein,DEN,DT,Wyoming,Mountain West Conference,6.0
00-0027658,Zane Beadles,DEN,G,Utah,Mountain West Conference,0.0
00-0027717,Joe Hawley,ATL,C,Nevada-Las Vegas,Mountain West Conference,0.0
00-0027876,Tim Tebow,NYJ,TE,Florida,Southeastern Conference,346.0
00-0028092,Richard Sherman,SEA,CB,Stanford,Pacific Twelve Conference,6.0
00-0028180,Malcolm Smith,SEA,MLB,Southern California,Pacific Twelve Conference,6.0
00-0028441,Jeron Johnson,SEA,DB,Boise State,Mountain West Conference,6.0
00-0028536,Bryan Braman,HOU,LB,West Texas A&M,Lone Star Conference,6.0
00-0029422,Keith Tandy,TB,FS,West Virginia,Big East,1.0
00-0029530,Justin Bethel,ARI,CB,Presbyterian,Big South Conference,6.0
00-0029546,Senio Kelemete,ARI,G,Washington,Pacific Twelve Conference,1.0
00-0029693,Olivier Vernon,MIA,DE,Miami,Atlantic Coast Conference,6.0
00-0022740,Jared Allen,MIN,DE,Idaho State,Big Sky Conference,12.0
00-0025513,Dashon Goldson,TB,DB,Washington,Pacific Ten Conference,5.0
00-0025612,Brandon Fields,MIA,P,Michigan State,Big Ten Conference,-2.0
00-0026257,Quintin Demps,KC,SS,Texas-El Paso,Conference USA,12.0
00-0027103,Kevin Huber,CIN,P,Cincinnati,Big East,0.0
00-0027253,Thad Lewis,BUF,QB,Duke,Atlantic Coast Conference,69.0
00-0027583,Richie Brockel,CAR,TE,Boise State,Western Athletic Conference,9.0
00-0027853,Teddy Williams,ARI,DB,Texas-San Antonio,Conference USA,5.0
00-0027943,Patrick Peterson,ARI,CB,Louisiana State,Southeastern Conference,34.0
00-0028347,Spencer Lanning,CLE,P,South Carolina,Southeastern Conference,4.0
00-0028862,Bryce Harris,NO,T,Fresno State,Mountain West Conference,0.0
00-0028943,Steven Johnson,DEN,ILB,Kansas,Big Twelve Conference,6.0
00-0029794,Daren Bates,LA,ILB,Auburn,Southeastern Conference,6.0
00-0029984,Ryan Allen,NE,P,Louisiana Tech,Western Athletic Conference,0.0
00-0030127,Marcus Cooper,KC,CB,Rutgers,Big East,6.0
00-0030175,Ryan Spadola,NYJ,WR,Lehigh,Patriot League,0.0
00-0030441,Kyle Long,CHI,G,Oregon,Pacific Twelve Conference,-2.0
00-0030474,Josh Boyce,NE,WR,Texas Christian,Big Twelve Conference,12.0
00-0030573,Sheldon Richardson,NYJ,DT,Missouri,Southeastern Conference,12.0
00-0019714,Shane Lechler,HOU,P,Texas A&M,Big Twelve Conference,3.0
00-0021140,Julius Peppers,GB,DE,North Carolina,Atlantic Coast Conference,0.0
00-0023487,Khalif Barnes,LV,OT,Washington,Pacific Ten Conference,4.0
00-0024110,Steve Weatherford,NYG,P,Illinois,Big Ten Conference,5.0
00-0025424,Eric Weddle,LAC,FS,Utah,Pacific Twelve Conference,2.0
00-0025460,Jacoby Jones,BAL,WR,Lane,Southern Intercollegiate Athletic Conference,450.0
00-0027109,James Casey,PHI,FB,Rice,Conference USA,126.0
00-0027378,Chris Maragos,PHI,FS,Wisconsin,Big Ten Conference,6.0
00-0027422,Danny McCray,CHI,SS,Louisiana State,Southeastern Conference,0.0
00-0027701,Everson Griffen,MIN,DE,Southern California,Pacific Ten Conference,6.0
00-0027809,Mickey Shuler,JAX,TE,Penn State,Big Ten Conference,4.0
00-0027870,Maurkice Pouncey,PIT,C,Florida,Southeastern Conference,0.0
00-0027914,Andrew Sendejo,MIN,FS,Rice,Conference USA,4.0
00-0027950,Christian Ponder,MIN,QB,Florida State,Atlantic Coast Conference,430.0
00-0027955,Nate Solder,NE,T,Colorado,Big Twelve Conference,7.0
00-0027960,Anthony Castonzo,IND,T,Boston College,Atlantic Coast Conference,6.0
00-0027997,Greg Little,CIN,WR,North Carolina,Atlantic Coast Conference,240.0
00-0028080,Karl Klug,TEN,DT,Iowa,Big Ten Conference,0.0
00-0028086,Denarius Moore,LV,WR,Tennessee,Southeastern Conference,330.0
00-0028443,Mike Morgan,SEA,OLB,USC,Pacific Twelve Conference,6.0
00-0028532,Joseph Morgan,NO,WR,Walsh,Independent,71.0
00-0029151,Matt Simms,NYJ,QB,Tennessee,Southeastern Conference,11.0
00-0029260,LaMichael James,MIA,RB,Oregon,Pacific Twelve Conference,35.0
00-0029432,Chase Ford,MIN,TE,Miami,Atlantic Coast Conference,45.0
00-0029585,Chandler Jones,NE,DE,Syracuse,Big East,6.0
00-0029673,DeVier Posey,HOU,WR,Ohio State,Big Ten Conference,43.0
00-0029883,Joseph Fauria,DET,TE,UCLA,Pacific Twelve Conference,80.0
00-0029934,Rodney Smith,CLE,WR,Florida State,Atlantic Coast Conference,0.0
00-0030142,Brad Wing,PIT,P,Louisiana State,Southeastern Conference,0.0
00-0030486,Brian Schwenke,TEN,C,California,Pacific Twelve Conference,-1.0
00-0030650,Dewey McDonald,IND,LB,California (PA),Pennsylvania State Athletic Conference,0.0
00-0030661,Connor Shaw,CLE,QB,South Carolina,Southeastern Conference,3.0
00-0030897,Corey Washington,NYG,WR,Newberry,South Atlantic Conference,11.0
00-0030899,Garry Gilliam,SEA,OT,Penn State,Big Ten Conference,7.0
00-0030985,Trey Watts,LA,RB,Tulsa,Conference USA,4.0
00-0031243,Storm Johnson,JAX,RB,Central Florida,American Athletic Conference,20.0
00-0031367,Gabe Jackson,LV,G,Mississippi State,Southeastern Conference,0.0
00-0031450,Josh Harris,PIT,RB,Wake Forest,Atlantic Coast Conference,4.0
00-0007091,Matt Hasselbeck,IND,QB,Boston College,Atlantic Coast Conference,2313.0
00-0010346,Peyton Manning,DEN,QB,Tennessee,Southeastern Conference,4894.0
